alarm/show_alarms		Cuántas alarmas tengo programadas	es_XX	{"tokenizations": [{"tokens": ["cuántas", "alarmas", "tengo", "programadas"], "tokenSpans": [{"start": 0, "length": 7}, {"start": 8, "length": 7}, {"start": 16, "length": 5}, {"start": 22, "length": 11}], "tokenizerType": 2, "normalizerType": 1}]}
weather/find	17:23:weather/attribute	cuando va a caer lluvia?	es_XX	{"tokenizations":[{"tokens":["cuando","va","a","caer","lluvia","?"],"tokenSpans":[{"start":0,"length":6},{"start":7,"length":2},{"start":10,"length":1},{"start":12,"length":4},{"start":17,"length":6},{"start":23,"length":1}],"tokenizerType":2,"normalizerType":1}]}
alarm/show_alarms		enseñar todas mis alarmas	es_XX	{"tokenizations": [{"tokens": ["enseñar", "todas", "mis", "alarmas"], "tokenSpans": [{"start": 0, "length": 7}, {"start": 8, "length": 5}, {"start": 14, "length": 3}, {"start": 18, "length": 7}], "tokenizerType": 2, "normalizerType": 1}]}
alarm/set_alarm		Encender mi alarma 	es_XX	{"tokenizations":[{"tokens":["encender","mi","alarma"],"tokenSpans":[{"start":0,"length":8},{"start":9,"length":2},{"start":12,"length":6}],"tokenizerType":2,"normalizerType":1}]}
weather/find	19:24:weather/noun,31:51:location,52:61:datetime	Cómo va a estar el clima en el aeropuerto de Denver el sábado?	es_XX	{"tokenizations": [{"tokens": ["cómo", "va", "a", "estar", "el", "clima", "en", "el", "aeropuerto", "de", "denver", "el", "sábado", "?"], "tokenSpans": [{"start": 0, "length": 4}, {"start": 5, "length": 2}, {"start": 8, "length": 1}, {"start": 10, "length": 5}, {"start": 16, "length": 2}, {"start": 19, "length": 5}, {"start": 25, "length": 2}, {"start": 28, "length": 2}, {"start": 31, "length": 10}, {"start": 42, "length": 2}, {"start": 45, "length": 6}, {"start": 52, "length": 2}, {"start": 55, "length": 6}, {"start": 61, "length": 1}], "tokenizerType": 2, "normalizerType": 1}]}
weather/find	11:16:weather/noun,30:46:datetime	Cuál es el clima pronosticado para esta semana?	es_XX	{"tokenizations": [{"tokens": ["cuál", "es", "el", "clima", "pronosticado", "para", "esta", "semana", "?"], "tokenSpans": [{"start": 0, "length": 4}, {"start": 5, "length": 2}, {"start": 8, "length": 2}, {"start": 11, "length": 5}, {"start": 17, "length": 12}, {"start": 30, "length": 4}, {"start": 35, "length": 4}, {"start": 40, "length": 6}, {"start": 46, "length": 1}], "tokenizerType": 2, "normalizerType": 1}]}
alarm/set_alarm	21:52:datetime	Programar una alarma cada 10 minutos durante 2 horas	es_XX	{"tokenizations":[{"tokens":["programar","una","alarma","cada","10","minutos","durante","2","horas"],"tokenSpans":[{"start":0,"length":9},{"start":10,"length":3},{"start":14,"length":6},{"start":21,"length":4},{"start":26,"length":2},{"start":29,"length":7},{"start":37,"length":7},{"start":45,"length":1},{"start":47,"length":5}],"tokenizerType":2,"normalizerType":1}]}
alarm/show_alarms		¿A qué hora está puesta mi alarma?	es_XX	{"tokenizations": [{"tokens": ["¿", "a", "qué", "hora", "está", "puesta", "mi", "alarma", "?"], "tokenSpans": [{"start": 0, "length": 1}, {"start": 1, "length": 1}, {"start": 3, "length": 3}, {"start": 7, "length": 4}, {"start": 12, "length": 4}, {"start": 17, "length": 6}, {"start": 24, "length": 2}, {"start": 27, "length": 6}, {"start": 33, "length": 1}], "tokenizerType": 2, "normalizerType": 1}]}
reminder/set_reminder	11:44:reminder/todo,45:55:datetime	Recuérdame comprar crema ligera en Shop Rite esta noche.	es_XX	{"tokenizations": [{"tokens": ["recuérdame", "comprar", "crema", "ligera", "en", "shop", "rite", "esta", "noche", "."], "tokenSpans": [{"start": 0, "length": 10}, {"start": 11, "length": 7}, {"start": 19, "length": 5}, {"start": 25, "length": 6}, {"start": 32, "length": 2}, {"start": 35, "length": 4}, {"start": 40, "length": 4}, {"start": 45, "length": 4}, {"start": 50, "length": 5}, {"start": 55, "length": 1}], "tokenizerType": 2, "normalizerType": 1}]}
weather/find	6:15:weather/attribute,19:26:location,27:32:datetime	¿está lloviendo en Seattle ahora?	es_XX	{"tokenizations": [{"tokens": ["¿", "está", "lloviendo", "en", "seattle", "ahora", "?"], "tokenSpans": [{"start": 0, "length": 1}, {"start": 1, "length": 4}, {"start": 6, "length": 9}, {"start": 16, "length": 2}, {"start": 19, "length": 7}, {"start": 27, "length": 5}, {"start": 32, "length": 1}], "tokenizerType": 2, "normalizerType": 1}]}
